trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,-107.1026317933314,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-154.27460517346992,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-92.07308717125773,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-12.665525830860897,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-176.94452507883233,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,12,-29.53171482322805,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",25,0,-31.368437109813453,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-177.18001864947206,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",35,0,-116.69011901918267,"{0: 20, 1: 4, 2: 10, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-176.26861903077474,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",20,1,-13.462644117363432,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-122.35489594857043,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,0,-138.7002459430677,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-34.29921489281022,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",30,0,-194.43667281575296,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,4,-41.41607663725063,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",25,0,-117.67701823381024,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,16,0.17850556706802911,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",25,0,-138.37177016665936,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-45.874053234414696,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9003245225862656}",30,0,-90.85607389393425,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-83.53832881583459,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8913661439068313}",25,0,-82.6589956833023,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8869204367171575}",35,0,-223.59474066435413,"{0: 22, 1: 0, 2: 9, 3: 0, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.8824969025845955}",25,0,-92.99693112115706,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-99.54066150572153,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8737159116880344}",25,0,-106.55519349115467,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-74.91878127563845,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8650222931107413}",25,0,-58.563299882663834,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-83.53959107040744,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8564151774836135}",30,0,-139.7409221893196,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-147.75921088409052,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.8478937040879159}",30,7,-144.8298711528693,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-127.25789070124006,"{0: 7, 1: 3, 2: 8, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8394570207692074}",20,9,-14.15054679946476,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-120.07063738460333,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8311042838521256}",20,0,-56.84032773789656,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,10,-23.28826599115365,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8228346580560184}",20,0,-62.55555990953116,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-116.18441348614125,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.8146473164114145}",20,0,-143.91970410354222,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-170.23189483639155,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.8065414401773269}",20,0,-87.47375500629205,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-69.54702988780745,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7985162187593771}",25,0,-55.419386674765576,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-103.80209792606557,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.7905708496287356}",25,0,-99.86893713624333,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,2,-93.69808452067113,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
49,False,"{'a': 0.5, 'e': 0.7827045382418681}",25,0,-233.7474499160563,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
50,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-65.60119459084311,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.774916497961081}",30,0,-89.9788655072849,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,19,-0.06703720391864465,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.7672059499758557}",25,10,7.696466580957026,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-70.97820110104561,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.7595721232249685}",20,0,-30.168981868085172,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-62.342238236620005,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7520142543193826}",30,0,-82.25578547427664,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-29.03948810241053,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7445315874659094}",20,0,-31.790601977993035,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,7,-65.41195064775629,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.7371233743916278}",20,0,-88.83407387117603,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-130.2208196960268,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.7297888742690568}",20,4,-6.056213313443845,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,0,-89.8353217592352,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.7225273536420722}",30,0,-82.8328058899052,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
